Municipio,2015,2016,2017,2018,2019,2020,2021,2022,2023
Leticia (Ama) Cap.,11.009820760118025,21.597805662944644,6.355393610710958,12.46261216350947,12.265423770391266,24.126907533626877,45.26578890397749,59.61194546468473,37.528380838008744
Arjona (Bol),15.019976568836553,28.210420038306783,27.87354214039463,25.8981626692373,29.232846583237052,21.700800217008002,14.702147850145016,14.547378165707864,43.210684823883724
Guachené (Cau),19.392058951859212,19.71706018632622,70.23176482391894,86.42163591073152,50.377833753148614,54.94505494505494,74.33102081268582,93.41199606686332,175.5926251097454
Sonsón (Ant),13.75024062921101,30.351525853981567,24.89970950338913,44.051650560281935,35.72017365499808,38.225255972696246,67.21694942596724,82.08224110996372,18.24960241937586
Puerto Boyacá (Boy),17.802305398549112,39.55261596607265,34.72749766674625,36.37452927079767,33.61344537815126,37.28946986803671,18.51013944305047,49.04966278356836,44.68638284042899
Agustín Codazzi (Ces),20.95228117961343,15.49426712116517,28.748266648628537,23.03844128488678,14.316620005090353,24.738697507576227,27.26487829261273,28.36710013586348,39.7766614122188
Valdivia (Ant),87.60402978537013,21.925016443762335,21.8978102189781,231.86725599594234,43.01075268817204,56.72954190894909,223.448083234411,192.54572961078256,94.7931478096012
La Dorada (Cal),31.29801399874808,29.68407661318821,23.886804648091164,26.423753563729925,19.185440991065065,20.268626868091776,24.110910186859556,27.881411064937133,26.300908696395464
Roldanillo (Vac),32.618445731060916,65.31323137212213,73.62163930850193,24.458515639861943,35.35779367367476,65.242211710977,54.07743889249405,18.792955326460483,58.643209382913504
Cartagena Del Chairá (Caq),34.73186996387886,20.42692268409764,70.2529104777198,69.08121977696635,45.487036194684514,57.78305672370068,63.53240152477764,53.430555992079704,52.854122621564485
Bosconia (Ces),13.332977787259006,5.246452086776317,15.44202805301763,27.484883314177207,23.90914524805738,25.38891196971795,33.909799932180405,57.9348455813539,52.76928827422441
Salgar (Ant),59.69501275302545,49.07038874652418,76.75017817005647,65.72461386789352,60.37984411022067,104.04687585564864,107.85159620362381,111.51824119802454,73.20644216691069
Quimbaya (Qui),107.53739368462216,52.14613955610599,58.71990604815032,55.282755032356675,61.46679175697971,51.377560850298636,41.25150726661166,53.23979831511697,58.68182098956082
Facatativá (Cun),18.414818906996793,14.362542489188197,22.757443580504457,7.171491885456932,5.4053688826426844,6.41116054828245,11.097068524398138,16.735501377690383,11.623581923005395
Yolombó (Ant),18.010716376243867,8.977466558937069,40.277466994853434,31.05865649125921,34.70715835140998,51.06165695076806,125.68077084206116,82.51165477123644,52.80903440711704
Betania (Ant),56.877429140202864,57.23006486074017,144.55044810638913,135.61949045820015,126.5329959120109,379.2298716452742,181.92263500574492,47.14757190004715,64.99535747446612
Acevedo (Hui),46.3489655753592,70.6097358365177,53.21326238231682,36.32840881569388,67.87510979797173,75.10475136374417,43.1203449627597,66.11441683195271,73.3335906441777
El Carmen De Viboral (Ant),15.97273985731019,13.984058173682003,24.088093599449415,21.87962838292716,24.54108177088446,35.15443984595964,17.30539298974262,15.492826821181794,36.611596723262096
Santa Fé De Antioquia (Ant),47.52098843655948,106.04037389050349,65.87104773713577,49.686592264179794,86.47266711782841,25.92400562921265,54.70260019692936,57.46300818847866,70.72385869373034
